eligibility_base,row_label,eligibility_indian,eligibility_international,relaxation,remarks,equivalent_qualification
After 10+2,b design ui ux,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,fashion design,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b sc fashion design,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b design fashion including with international credit transfer option,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,multimedia and animation,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b sc animation and vfx design,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b design animation and vfx,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b sc graphics design,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b design graphics,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b sc gaming design,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b design gaming,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b a fine arts,Pass,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bachelor of fine arts bfa,Pass,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,journalism and film production,Pass,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b sc film and tv production,50% with  English,50%  and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b design film and tv production,50% with  English,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,journalism and film production,50% with  English,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b a journalism and mass communication,50% with  English,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,performing arts,50% with  English,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b a music vocal theatre,Pass,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bpa music vocal theatre,Pass,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bachelor in clinical psychology b clin psy,"50% in 10+2 with (English , Physics, Chemistry & Maths/Biology) + LPUNEST","50% in 10+2 with (Physics, Chemistry & Maths/Biology) + LPUIST and ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bachelor of psychology b psy,50% with English + LPUNEST/ CUET,50% + LPUIST and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,arts humanities,50% with English + LPUNEST/ CUET,50% + LPUIST and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bachelor of arts b a,Pass,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b a hons hons with research,Pass,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b a social science,Pass,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bachelor of social work bsw,55% with  English,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bachelor of social work hons hons with research,55% with  English,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,governance and public policy,55% with  English,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b sc public policy,50% with  English,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,library sciences,50% with  English,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,diploma in library and information sciences,0.5,50%  and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b a b ed secondary stage four year integrated teacher education programme itep,50% Marks in Senior Secondary /+2 + NCET test by NTA,50% Marks in Senior Secondary /+2 + NCET test by NTA + ELR,5% to SC/ST/BC,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b sc b ed secondary stage four year integrated teacher education programme itep,50% Marks in Senior Secondary /+2 Science or its equivalent + NCET test by NTA,50% Marks in Senior Secondary /+2 Science or its equivalent + NCET test by NTA + ELR,5% to SC/ST/BC,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b a b ed spl ed multiple disability preparatory stage isitep,50% Marks in Senior Secondary /+2 + LPUNEST,50% Marks in Senior Secondary /+2 + LPUIST + ELR,5% to SC/ST/BC,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,physical education,50% Marks in Senior Secondary /+2 + LPUNEST,50% Marks in Senior Secondary /+2 + LPUIST + ELR,5% to SC/ST/BC,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b sc health and physical education,"Pass +PET
Note:-Medical  Fitness Certificate (as per university prescribed format) is Compulsory","50%  and ELR + PET
Note:-Medical  Fitness Certificate (as per university prescribed format) is Compulsory",5% to SC/ST/BC,"- Medical  Fitness Certificate Compulsory
 - The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission",3 years diploma in MLT after 10th
After 10+2,bachelor of physical education and sports bpes,"Pass +PET
Note:-Medical  Fitness Certificate (as per university prescribed format) is Compulsory","50%  and ELR + PET
Note:-Medical  Fitness Certificate (as per university prescribed format) is Compulsory",5% to SC/ST/BC,"- Medical  Fitness Certificate Compulsory
 - The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission",3 years diploma in MLT after 10th
After 10+2,pharmaceutical sciences,"Pass +PET
Note:-Medical  Fitness Certificate (as per university prescribed format) is Compulsory","50%  and ELR + PET
Note:-Medical  Fitness Certificate (as per university prescribed format) is Compulsory",5% to SC/ST/BC,"- Medical  Fitness Certificate Compulsory
 - The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission",3 years diploma in MLT after 10th
After 10+2,b pharm,"60% with  English, Physics, Chemistry  and Maths/ Biology + LPUNEST*/ CUET/NEET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","50% with  Physics, Chemistry and  Maths/ Biology and ELR


Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,"- No Age Condition
- Open School–passed students from Central or State Government institutions are also eligible",3 years diploma in MLT after 10th
After 10+2,pharm d doctor of pharmacy,"60% with  English, Physics, Chemistry  and Maths/ Biology + LPUNEST*/ CUET/ NEET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.","50% with  Physics, Chemistry and  Maths/ Biology and ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,"- No Age Condition
- Open School–passed students from Central or State Government institutions are also eligible",3 years diploma in MLT after 10th
After 10+2,bachelor of physiotherapy b pt,"60% with  English, Physics, Chemistry &  Biology (Botany & Zoology) + LPUNEST/ CUET/NEET

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","50%   with Physics, Chemistry &  Biology (Botany & Zoology) and ELR

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","- 5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
- 10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,medical laboratory sciences,"60% with  English, Physics, Chemistry &  Biology (Botany & Zoology) + LPUNEST/ CUET/NEET

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","50%   with Physics, Chemistry &  Biology (Botany & Zoology) and ELR

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","- 5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
- 10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,bachelor of medical laboratory science,"60% with English, Physics, Chemistry and   Biology (Botany & Zoology)

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","50% with Physics, Chemistry and   Biology (Botany & Zoology) and ELR

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,bachelor of optometry,"60% with English, Physics, Chemistry, Biology/ Mathematics

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","50% with Physics, Chemistry, Biology/ Mathematics and ELR

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,bachelor of cardiovascular technology,"60% with English, Physics, Chemistry, Biology

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","50% with Physics, Chemistry, Biology and ELR

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,bachelor of anaesthesia and operation theatre technology,"60% with English , Physics, Chemistry, Biology/Mathematics

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","50% with Physics, Chemistry, Biology/Mathematics and ELR

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)",5% to SC/ST and  OBC,Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,bachelor of medical radiology and imaging technology,"60% with English, Physics, Chemistry and Biology

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","50% with Physics, Chemistry and Biology and ELR

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)",5% to SC/ST and  OBC,Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,b sc clinical embryology,"60% with English, Physics, Chemistry, and Biology","50% with Physics, Chemistry, and Biology and ELR","- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
Lateral Entry,diploma engg lateral entry no integrated,"50% in ITI( In  Technical field) after 10th 1yr or 2 yr / SLIET's 2 Yr Diploma/Certificate 
OR
50% in 10+2 Vocational (In  Technical field)
OR
50% in 10+2 (NM)","50% in ITI(In  Technical field) after 10th 1yr or 2 yr / SLIET's 2 Yr Diploma/Certificate and  ELR 
OR
50%s in 10+2 Vocational (In Technical field) and ELR
OR
50% in 10+2 (NM) and ELR",,,
Lateral Entry,b tech lateral entry,"60%  in Diploma (Engg.) (any stream) (3yrs. after 10th or 2 yrs after 10+2(Non Medical))  or B.Sc (Non- medical)/ B.Sc(Computer  Science) or equivalent + LPUNEST*

Imp:- 1. For B.Tech (CSE) and B.Tech (IT)
BCA will also be considered

2. For B.Tech (Civil Engg)
Diploma in Architectural Assistantship will also be considered
                                       
3. For B.Tech (Biotech), B.Tech. (Biomedical Engg.) 
Only Diploma (Biotech) or B.Sc (Medical) or B.Sc. Bio Sciences will  be considered

4. For B.Tech  (Food Technology):-
Only Diploma (Biotech) or B.Sc (Medical) or B.Sc. Bio Sciences or Diploma (Food Technology)  will  be considered

5. For Chemical Engg.:- Only Diploma (Engg.) (any stream) (3yrs. after 10th or 2 yrs after 10+2(Non Medical) or B.Sc (Non- medical)/ B.Sc. (Hons.) Chemistry

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.","50% in Diploma (Engg.) (any stream) (3yrs. after 10th or 2 yrs after 10+2(Non Medical) ) and ELR or B.Sc (Non- medical)/ B.Sc(Computer  Science)  and ELR            

 1. For B.Tech (CSE) and B.Tech (IT)
BCA and ELR will also be considered

2. For B.Tech (Civil Engg)
Diploma in Architectural Assistantship and ELR will also be considered
                                       
3.B.Tech (Biotech),B.Tech. (Biomedical Engg.) 
Only Diploma (Biotech) or B.Sc (Medical) or B.Sc. Bio Sciences and ELR  will also be considered

4. For B.Tech  (Food Technology):-
Only Diploma (Biotech) or B.Sc (Medical) or B.Sc. Bio Sciences or Diploma (Food Technology)  will  be considered

5.For Chemical Engg.:- Only Diploma (Engg.) (any stream) (3yrs. after 10th or 2 yrs after 10+2(Non Medical) or B.Sc (Non- medical)/ B.Sc. (Hons.) Chemistry",,,For Biomedical:- Diploma Electronic Engg. (Medical Electronics) is also eligible)
Lateral Entry,b tech construction technology lateral entry,"60%  in Diploma (Engg.) (any stream) (3yrs. after 10th or 2 yrs after 10+2(Non Medical))  or B.Sc (Non- medical)/ B.Sc(Computer  Science)

Note:- This proghramme is exclusively for L & T Diploma holders","50% in Diploma (Engg.) (any stream) (3yrs. after 10th or 2 yrs after 10+2(Non Medical) ) and ELR or B.Sc (Non- medical)/ B.Sc(Computer  Science)  and ELR            

 1. For B.Tech (CSE) and B.Tech (IT)
BCA and ELR will also be considered

2. For B.Tech (Civil Engg)
Diploma in Architectural Assistantship and ELR will also be considered
                                       
3.B.Tech (Biotech),B.Tech. (Biomedical Engg.) 
Only Diploma (Biotech) or B.Sc (Medical) or B.Sc. Bio Sciences and ELR  will also be considered

4. For B.Tech  (Food Technology):-
Only Diploma (Biotech) or B.Sc (Medical) or B.Sc. Bio Sciences or Diploma (Food Technology)  will  be considered

5.For Chemical Engg.:- Only Diploma (Engg.) (any stream) (3yrs. after 10th or 2 yrs after 10+2(Non Medical) or B.Sc (Non- medical)/ B.Sc. (Hons.) Chemistry",,,For Biomedical:- Diploma Electronic Engg. (Medical Electronics) is also eligible)
Lateral Entry,bca lateral entry,"50% in Diploma (Engg. Any Stream)  
(3 yrs after 10th) OR  Diploma in Computer Applications/IT (2 yr / 1 yr after 10+2)","50% in Diploma (Engg. Any Stream) 
(3 yrs after 10th) OR Diploma in Computer Applications /IT(2 yr / 1 yr after 10+2) and ELR",,,For Biomedical:- Diploma Electronic Engg. (Medical Electronics) is also eligible)
Lateral Entry,bsc it lateral entry,"50% in Diploma (Engg. Any Stream) 
(3 yrs after 10th) OR  Diploma in Computer Applications/IT (2 yr / 1 yr after 10+2)","50% in Diploma (Engg. Any Stream) 
(3 yrs after 10th) OR  Diploma in Computer Applications /IT(2 yr / 1 yr after 10+2) and ELR",,,For Biomedical:- Diploma Electronic Engg. (Medical Electronics) is also eligible)
Lateral Entry,bba lateral entry,"50% in Diploma (Mgt./Commerce/Economics) 
(3 yrs after 10th) OR (2 yr / 1 yr after 10+2)","50% in Diploma (Mgt./Commerce/Economics) and ELR 
(3 yrs after 10th) 
OR 
(2 yr / 1 yr after 10+2)",,,For Biomedical:- Diploma Electronic Engg. (Medical Electronics) is also eligible)
Lateral Entry,b com lateral entry,"50% in Diploma (Mgt./Commerce/Economics) 
(3 yrs after 10th) OR (2 yr / 1 yr after 10+2)","50% in Diploma (Mgt./Commerce/Economics) and ELR 
(3 yrs after 10th) OR (2 yr / 1 yr after 10+2)",,,For Biomedical:- Diploma Electronic Engg. (Medical Electronics) is also eligible)
Lateral Entry,hotel management ans tourism,"50% in Diploma (Mgt./Commerce/Economics) 
(3 yrs after 10th) OR (2 yr / 1 yr after 10+2)","50% in Diploma (Mgt./Commerce/Economics) and ELR 
(3 yrs after 10th) OR (2 yr / 1 yr after 10+2)",,,For Biomedical:- Diploma Electronic Engg. (Medical Electronics) is also eligible)
Lateral Entry,b sc hotel and hospitality management lateral entry,"50% in Diploma (Hotel Mgt. or Equivalent )
(3 yrs after 10th ) or  (2 yr / 1 yr after 10+2)","50% in  Diploma (Hotel Mgt. or Equivalent) and ELR
(3 yrs after 10th )  OR  (2 yr / 1 yr after 10+2)",,,For Biomedical:- Diploma Electronic Engg. (Medical Electronics) is also eligible)
Lateral Entry,bhmct lateral entry,"50% in Diploma (Hotel Mgt. or Equivalent ) 
(3 yrs after 10th ) or  (2 yr / 1 yr after 10+2)","50% in  Diploma (Hotel Mgt. or Equivalent) and ELR
(3 yrs after 10th )  OR  (2 yr / 1 yr after 10+2)",,,For Biomedical:- Diploma Electronic Engg. (Medical Electronics) is also eligible)
Lateral Entry,b sc airlines tourism and hospitality lateral entry,"50% in Diploma (Airlines or Tourism &Hospitality ) 
(3 yrs after 10th ) or  (2 yr / 1 yr after 10+2)","50% in   Diploma (Airlines or Tourism) and ELR 
(3 yrs after 10th )  OR  (2 yr / 1 yr after 10+2)",,,For Biomedical:- Diploma Electronic Engg. (Medical Electronics) is also eligible)
Lateral Entry,interior and furniture design,"50% in Diploma (Airlines or Tourism &Hospitality ) 
(3 yrs after 10th ) or  (2 yr / 1 yr after 10+2)","50% in   Diploma (Airlines or Tourism) and ELR 
(3 yrs after 10th )  OR  (2 yr / 1 yr after 10+2)",,,For Biomedical:- Diploma Electronic Engg. (Medical Electronics) is also eligible)
Lateral Entry,b sc interior and furniture design lateral entry,"50% in Diploma (Interior / Arch / Civil) 
(3 yrs after 10th)  or ( 2 yrs/1 Yr after 10+2)","50% in Diploma (Interior / Arch / Civil) and ELR 
(3 yrs after 10th)  or ( 2 yrs/1 Yr after 10+2)",,,For Biomedical:- Diploma Electronic Engg. (Medical Electronics) is also eligible)
Lateral Entry,b design interior and furniture lateral entry,"50% in Diploma (Interior / Arch / Civil) 
(3 yrs after 10th)  or ( 2 yrs/1 Yr after 10+2)","50% in Diploma (Interior / Arch / Civil) and ELR 
(3 yrs after 10th)  or ( 2 yrs/1 Yr after 10+2)",,,For Biomedical:- Diploma Electronic Engg. (Medical Electronics) is also eligible)
Lateral Entry,product and industrial design,"50% in Diploma (Interior / Arch / Civil) 
(3 yrs after 10th)  or ( 2 yrs/1 Yr after 10+2)","50% in Diploma (Interior / Arch / Civil) and ELR 
(3 yrs after 10th)  or ( 2 yrs/1 Yr after 10+2)",,,For Biomedical:- Diploma Electronic Engg. (Medical Electronics) is also eligible)
Lateral Entry,b design product and industrial lateral entry,"50% in Diploma (Interior / Arch / Civil)/ CSE )
(3 yrs after 10th)  or ( 2 yrs/1 Yr after 10+2)","50% in Diploma (Interior / Arch / Civil/ CSE) and ELR 
(3 yrs after 10th)  or( 2 yrs/1 Yr after 10+2)",,,Diploma (Mechanical )3 Years
Lateral Entry,interaction design ui ux,"50% in Diploma (Interior / Arch / Civil)/ CSE )
(3 yrs after 10th)  or ( 2 yrs/1 Yr after 10+2)","50% in Diploma (Interior / Arch / Civil/ CSE) and ELR 
(3 yrs after 10th)  or( 2 yrs/1 Yr after 10+2)",,,Diploma (Mechanical )3 Years
Lateral Entry,b design ui ux lateral entry,"50% in Diploma (Interior / Arch / Civil/ CSE + Engg. streams )
(3 Yrs after 10th)  or ( 2 Yrs/1 Yr after 10+2)","50% in Diploma (Interior / Arch / Civil/ CSE + Engg. streams ) and ELR
(3 Yrs after 10th)  or ( 2 Yrs/1 Yr after 10+2)",,,Diploma (Mechanical )3 Years
Lateral Entry,fashion design,"50% in Diploma (Interior / Arch / Civil/ CSE + Engg. streams )
(3 Yrs after 10th)  or ( 2 Yrs/1 Yr after 10+2)","50% in Diploma (Interior / Arch / Civil/ CSE + Engg. streams ) and ELR
(3 Yrs after 10th)  or ( 2 Yrs/1 Yr after 10+2)",,,Diploma (Mechanical )3 Years
Lateral Entry,b sc fashion design lateral entry,"50% in Diploma (Fashion/ Garment Technology)
(3 yrs after 10th ) or (2 yr / 1 yr after 10+2)","50% in Diploma (Fashion/  Garment Technology)  and ELR 
(3 yrs after 10th ) or (2 yr / 1 yr after 10+2)",,,Diploma (Mechanical )3 Years
Lateral Entry,b design fashion lateral entry,"50% in Diploma (Fashion/ Garment Technology)
(3 yrs after 10th ) or (2 yr / 1 yr after 10+2)","50% in Diploma (Fashion/  Garment Technology)  and ELR 
(3 yrs after 10th ) or (2 yr / 1 yr after 10+2)",,,Diploma (Mechanical )3 Years
Lateral Entry,pharmaceutical sciences,"50% in Diploma (Fashion/ Garment Technology)
(3 yrs after 10th ) or (2 yr / 1 yr after 10+2)","50% in Diploma (Fashion/  Garment Technology)  and ELR 
(3 yrs after 10th ) or (2 yr / 1 yr after 10+2)",,,Diploma (Mechanical )3 Years
